name,category,location,phone,website,rating,reviews,address,hours,gps_coordinates,data_id
Saffron Hill Convent School,Private Schools,"Chandauli, Uttar Pradesh",076076 44654,,,,"766H+2XH, near Chandauli, Hinauta Urf Jagdishrai, Katsila, Uttar Pradesh 232104",Closed · Opens 7 am Thu,"{'latitude': 25.2600591, 'longitude': 83.2299908}",0x398e3d99f13a3d77:0x5c6ad83d5bab4f0d
Sparkles School,Private Schools,"Chandauli, Uttar Pradesh",,,4.9,,"Pt. D.D, Ledhupur, U Nagar, MGS, Kailashpuri Colony, Mughalsarai, Mughalsarai Railway Settlement, Uttar Pradesh 232101",Open · Closes 1:30 am,"{'latitude': 25.289807, 'longitude': 83.1099132}",0x398e3b9ec0930e5b:0x9b4f87f6d9e99013
BRIJNANDANI CONVENT SCHOOL,Private Schools,"Chandauli, Uttar Pradesh",083189 32458,,,,"Maroofpur, Chahaniya, Uttar Pradesh 232114",Closed · Opens 8 am Thu,"{'latitude': 25.4196411, 'longitude': 83.2165046}",0x398e2185ba62dd29:0xe86a8924ca433fae
Sunbeam School Mughalsarai,Private Schools,"Chandauli, Uttar Pradesh",098380 75637,http://sunbeammughalsarai.com/,,,"Sunbeam School, Karwat, GT Road (near FCI Godown), Dulhipur Mughalsarai, Mughalsarai, Uttar Pradesh 232101",Closed · Opens 9 am Thu,"{'latitude': 25.2986848, 'longitude': 83.0737127}",0x398e3008bb0529b1:0x6e860e6e1271237f
"Sudama Devi Mahila P.G. College, chhitto, chandauli",Private Schools,"Chandauli, Uttar Pradesh",094155 20005,https://sudamadevipgcollege.in/,4.7,,"Chhitto, Uttar Pradesh 232104",Closed · Opens 9 am Thu,"{'latitude': 25.2652376, 'longitude': 83.2794323}",0x398e1f13acde072f:0x9afac739c128a223
JS Public School,Private Schools,"Chandauli, Uttar Pradesh",081270 43333,http://jspschandauli.com/,,,"Kasimpur, Pachokhar, Uttar Pradesh 232102",Closed · Opens 7:30 am Thu,"{'latitude': 25.2062237, 'longitude': 83.15503509999999}",0x398e394eda5005a7:0x120ed3f86bb16ac
BPS PUBLIC SCHOOL Naubatpur Chandauli,Private Schools,"Chandauli, Uttar Pradesh",099560 48693,http://www.bpspublicschool.com/contact.php?id=7,,,"69WQ+8M5, Naubatpur, Khamanpur, Uttar Pradesh 232110",Closed · Opens 8 am Thu,"{'latitude': 25.2457712, 'longitude': 83.38922409999999}",0x398e119a7d9445d5:0xca666c4a8d220a0
Ambrosia Academy,Private Schools,"Chandauli, Uttar Pradesh",,,4.6,,"Tajpur, Sakaldiha, Parasrampur, Uttar Pradesh 232109",Closed · Opens 8 am Thu,"{'latitude': 25.3446511, 'longitude': 83.2335276}",0x398e3de695c0736b:0xd6f7a36e6e637e16
B & B International School,Private Schools,"Chandauli, Uttar Pradesh",091292 46381,https://bandbinternationalschool.org/,,,"Kharkholia,Moharganj, Dhanapur, Khar Kholi, Uttar Pradesh 232105",Closed · Opens 8 am Thu,"{'latitude': 25.438554099999998, 'longitude': 83.2676042}",0x398e1f6a07fd7599:0x885f818aba398bbc
THE RAMAN PUBLIC SCHOOL,Private Schools,"Chandauli, Uttar Pradesh",094509 36874,https://theramanpublicschool.co.in/,,,"Negura, Uttar Pradesh 232104",,"{'latitude': 25.2373901, 'longitude': 83.264297}",0x398e161300000001:0x634ea3c991568f8f
S-1 Classes,Coaching Institutes,"Chandauli, Uttar Pradesh",073950 71772,,4.9,,"SBI bank, near Pt. Kamla Pati District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 9 am Thu,"{'latitude': 25.259396, 'longitude': 83.27188}",0x398e17d8b9139fbd:0xc79a5e5cd2112011
Shivam Coaching Centre By Arvind Sir,Coaching Institutes,"Chandauli, Uttar Pradesh",,,4.9,,"7777+MR6, Sakalidiha Road, Master Colony, Chandauli, Uttar Pradesh 232104",,"{'latitude': 25.264151, 'longitude': 83.2645012}",0x398e16310505d9dd:0x4420c68958e81c5c
Wisdom Educare For IIT -JEE NEET,Coaching Institutes,"Chandauli, Uttar Pradesh",073888 84391,https://wisdomeducare.aloyt.com/,4.8,,"Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 3 pm Thu,"{'latitude': 25.2585464, 'longitude': 83.26983729999999}",0x398e179846c52769:0x2eab8688fe0397c9
Vector Academy,Coaching Institutes,"Chandauli, Uttar Pradesh",,,5,,"opposite Amit Confaqshnory, near Shubham Lawn (Ricemill, Kamla nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 8 am Thu,"{'latitude': 25.2534214, 'longitude': 83.2729638}",0x398e17da48def161:0x7aff78629fbcc481
ACHIEVERS TUTORIAL,Coaching Institutes,"Chandauli, Uttar Pradesh",,,4.8,,"KAILI ROAD, Kasopur, Keshavpur, Chandauli, Uttar Pradesh 232104",Closed · Opens 2 pm Thu,"{'latitude': 25.2663181, 'longitude': 83.2534105}",0x398e1726f0887547:0x3260e56a5081f2ed
"Physics Wallah Coaching Center Helpline Chandauli | IIT JEE, NEET Classes",Coaching Institutes,"Chandauli, Uttar Pradesh",074288 90305,https://www.pw.live/scholarship/nsat/vidyapeeth?utm_source=GMB&utm_medium=organic&utm_campaign=NSAT_24,,,"Nagar Panchayat, Danpur, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.264432, 'longitude': 83.261899}",0x398e17f3034e07b1:0x66423de55fb6cd2d
CBS COACHING CENTER,Coaching Institutes,"Chandauli, Uttar Pradesh",096955 80001,https://cbscoachingcentre.com/,4.9,,"Kailashpuri Road, near Shiv Temple, Ravi Nagar, Mughalsarai Railway Settlement, Uttar Pradesh 232101",Closed · Opens 8 am Thu,"{'latitude': 25.288356699999998, 'longitude': 83.11091789999999}",0x398e3b0c45c86c09:0xed0e2ed2ab0bdc58
SK COACHING CENTER,Coaching Institutes,"Chandauli, Uttar Pradesh",091204 17779,,4.9,,"57MV+3G, Between, Near, and, Bisunpura, Kanta, Uttar Pradesh 232104",Closed · Opens 6 am Thu,"{'latitude': 25.1826755, 'longitude': 83.2938507}",0x398e155476db21b9:0xf70a9c89826f67c0
sanskar computer coaching center,Coaching Institutes,"Chandauli, Uttar Pradesh",,,4.4,,"Sankar Mod, Chandauli, Negura, Uttar Pradesh 232104",Closed · Opens 9 am Thu,"{'latitude': 25.243876099999998, 'longitude': 83.2719825}",0x398e17976241e94b:0x2fe94d033fa5e116
JMV Coaching,Coaching Institutes,"Chandauli, Uttar Pradesh",,,5,,"Ward no 2, daitra beer baba ke pichhe, Kailee Rd, shastri nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 6 am Thu,"{'latitude': 25.262522, 'longitude': 83.26325}",0x398e17c28840dc5b:0x5fe8a1781650f19d
A-1 Coaching Center,Coaching Institutes,"Chandauli, Uttar Pradesh",080812 47586,,5,,"near Apna General Store, Manash Colony, Mughalsarai, Uttar Pradesh 232101",Closed · Opens 8 am Thu,"{'latitude': 25.2782666, 'longitude': 83.13089509999999}",0x398e3bc2feb3a32b:0x8358996254d42db0
Gyandarshan coaching center and education center,Coaching Institutes,"Chandauli, Uttar Pradesh",096507 77379,http://gyandarshanclasses.com/,5,,"New central colony, Hanuman Mandir Rd, near chakia, modh, Mughalsarai, Uttar Pradesh 232101",Closed · Opens 8 am Thu,"{'latitude': 25.2780424, 'longitude': 83.12719609999999}",0x398e3b9d8213e92f:0x30a78292134820ae
OM coaching Center,Coaching Institutes,"Chandauli, Uttar Pradesh",080810 13047,,4.9,,"near Rastriya inter college, Kamalpur, Uttar Pradesh 232106",Closed · Opens 6 am Thu,"{'latitude': 25.386264399999998, 'longitude': 83.37440699999999}",0x398e1b6ebfccea59:0x374b5f8786875de7
Shashwat coaching centre,Coaching Institutes,"Chandauli, Uttar Pradesh",,,4.9,,"76V5+4MW, Chandauli Kaili Rd, Sadalpura, Uttar Pradesh 232120",Open 24 hours,"{'latitude': 25.2928587, 'longitude': 83.2092083}",0x398e3dba59071cdf:0x676fdc905449e19d
Anand coaching classes,Coaching Institutes,"Chandauli, Uttar Pradesh",076076 72594,,5,,"V.D, A. colony, Ram Nagar Industrial Area, Ram nagar, Chandauli, Tengara 0001Suzabad 0009, Uttar Pradesh 221008",Closed · Opens 1:30 pm Thu,"{'latitude': 25.2452112, 'longitude': 83.0647121}",0x398e319109dff75d:0x7ff2e58c71e82914
Brain Sharp Institute of Computer Technology,Coaching Institutes,"Chandauli, Uttar Pradesh",,,5,,"Ward No. 8, Grand Trunk Rd, Near KHADIMS SHOW ROOM, Kidwai Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 5:45 am Thu,"{'latitude': 25.2586782, 'longitude': 83.2596184}",0x398e16383415ccfd:0x70b2f608cf273328
Purvanchal Computer Shikshan Seva Sanstha,Coaching Institutes,"Chandauli, Uttar Pradesh",092360 37758,http://www.pcsss.org/,4,,"Ward No, 2, Chandauli Kaili Rd, Shastri Nagar, Chandauli, Uttar Pradesh 232104",,"{'latitude': 25.263621, 'longitude': 83.26004329999999}",0x398e162c1be336d1:0xec86ca6ce432985d
DAKSHITA CLASSES,Coaching Institutes,"Chandauli, Uttar Pradesh",,,5,,"7764+32F, Bichhiya Kala, Chandauli, Uttar Pradesh 232104",Closed · Opens 6 am Thu,"{'latitude': 25.2601776, 'longitude': 83.2550321}",0x398e17005ec14efd:0x4a7db045212aa341
Subu.Info,Coaching Institutes,"Chandauli, Uttar Pradesh",073072 34305,,5,,"Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 9 am Thu,"{'latitude': 25.259618699999997, 'longitude': 83.2679665}",0x398e17405b7cd05d:0x6c2258ec8594764
Shivam Coaching Center,Coaching Institutes,"Chandauli, Uttar Pradesh",,,4.7,,"77C9+9PW, Chandauli, Uttar Pradesh 232104",Temporarily closed,"{'latitude': 25.2709863, 'longitude': 83.26933179999999}",0x398e174a80ecd1fb:0xe6293766a99c1832
Hariom Hospital and Trauma Center-Best hospital/best Gynaecologist dr in chandauli,Hospitals,"Chandauli, Uttar Pradesh",077538 89710,,5,,"Kamla Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2587551, 'longitude': 83.27510269999999}",0x398e17a317b3161d:0x508a802d2943db37
"Shivoy Hospital, Chandauli",Hospitals,"Chandauli, Uttar Pradesh",,https://www.facebook.com/drsanjayortho/,5,,"near Kamlapati Tripathi District Hospital, Kamla Nager, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2590719, 'longitude': 83.2748842}",0x398e170157bd6395:0x4264ab3d09aa181
Dr R D Memorial Hospital,Hospitals,"Chandauli, Uttar Pradesh",077538 89705,,4.7,,"ward no 3, Nehru Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2607397, 'longitude': 83.2576114}",0x398e17bbd9e6a29d:0x2721771273307431
Pandit Kamla Pati District Hospital Chandauli,Hospitals,"Chandauli, Uttar Pradesh",,,4,,"775F+F3V, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.258688, 'longitude': 83.2737859}",0x398e1647a4f6ab73:0x1543727a22d55f6
Surya hospital,Hospitals,"Chandauli, Uttar Pradesh",079921 31267,https://suryahospitalchandauli.in/,4.7,,"G. T. Road, near punjab National Bank, Sanjay Nagar, FCI Colony, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2600031, 'longitude': 83.2493696}",0x39a007c776d48719:0x14eeaf3461c72a34
SHARDA HOSPITAL,Hospitals,"Chandauli, Uttar Pradesh",,http://shardahospital.in/,4.9,,"Grand Trunk Rd, opposite Pt. Kamalapati Tripathi District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2599828, 'longitude': 83.2739217}",0x398e17e8e336df01:0x29df31a9cd17b334
Anamika Child Care & Hospital®,Hospitals,"Chandauli, Uttar Pradesh",091181 80180,https://www.facebook.com/share/1PNKqX5V8K/,4.9,,"Futiya, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.258298999999997, 'longitude': 83.278038}",0x398e16442d55737d:0xf7c2f1cf5876c1b2
Motherhood Children Hospital,Hospitals,"Chandauli, Uttar Pradesh",,,4.9,,"near Kamlapati district hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2586418, 'longitude': 83.2761495}",0x398e17bd361abd91:0xb6d1c42296dab030
SAM Hospital,Hospitals,"Chandauli, Uttar Pradesh",063924 10456,https://samhospital.co.in/,4.7,,"Ward no 15, Gandhi Nagar, near Math Mandir, Ward Number 11, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 11 pm,"{'latitude': 25.2579226, 'longitude': 83.26260669999999}",0x398e163ae0aa10b9:0x118261ef827a6468
KG Nanda Hospital Chandauli,Hospitals,"Chandauli, Uttar Pradesh",096283 00438,,3.8,,"Word No.11, 7763+3PP, Sanjay Nagar, Infront of Chaurashia Petrol Pump, near CHAURASIYA PETROL PUMP, Bichhiya Kala, Chandauli, Jasori, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2603781, 'longitude': 83.2551563}",0x398e1628a794315b:0x180372a0f2950ada
Abhishek Hospital®,Hospitals,"Chandauli, Uttar Pradesh",094152 24892,http://abhishekhospital.org/,4.4,,"State Highway 69, Danpur, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.267949599999998, 'longitude': 83.2666548}",0x398e1633f524211d:0xe2f2b9bfa0946b3f
Vedanta - Superspeciality Hospital & Trauma Center,Hospitals,"Chandauli, Uttar Pradesh",094528 08837,http://vedantahospital.co.in/,4.5,,"Grand Trunk Rd, near Pt Kamalapati Tripathi Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.259044199999998, 'longitude': 83.2752549}",0x398e1727231c7da5:0x5b5ed1fee1ea9a2b
Ditya hospital,Hospitals,"Chandauli, Uttar Pradesh",084001 94461,,5,,"Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2597407, 'longitude': 83.2752879}",0x398e164637dcc05f:0x40cd704fd8c586ad
Satkriti Hospital - Chandauli,Hospitals,"Chandauli, Uttar Pradesh",081880 88574,https://satkritihospital.com/best-ent-specialist-in-chandauli.php,4.9,,"Grand Trunk Rd, near District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 10 am Thu,"{'latitude': 25.260071, 'longitude': 83.26851979999999}",0x398e17c3a80ce9e1:0x7658ac70de4115dc
Astha Hospital,Hospitals,"Chandauli, Uttar Pradesh",,,4.7,,"Futiya, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.258026599999997, 'longitude': 83.2802001}",0x398e163376a25677:0x8e0479ee14c20608
Indrajeet Singh Memorial hospital,Hospitals,"Chandauli, Uttar Pradesh",098391 43999,,4.7,,"7767+C68, Near Tehsil chandauli ,Ward no.-11, Bichhiya Kala, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.259251, 'longitude': 83.262462}",0x398e163abf01c6bd:0x6a6cee59c880a2ee
Ayushman Hospital Chandauli,Hospitals,"Chandauli, Uttar Pradesh",,,4.4,,"Ward No.4, near State Bank Of India, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2604696, 'longitude': 83.264538}",0x398e17fbdad20bc9:0xdd473c1a8423f8df
"LILAWATI HOSPITAL, CHANDAULI",Hospitals,"Chandauli, Uttar Pradesh",090050 72985,,5,,"NH-2 ROAD, behind BJP OFFICE, Bichhiya Kala, Chandauli, Jasori, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2580624, 'longitude': 83.2523483}",0x398e170041210f57:0x74e081cf9982ecaf
Shivam Hospital Tarajeevanpur sakaldiha road Chandauli,Hospitals,"Chandauli, Uttar Pradesh",,,4.9,,"Shivam hospital, Jivanpur, Uttar Pradesh 232120",Open 24 hours,"{'latitude': 25.3054982, 'longitude': 83.1852784}",0x398e3d3c166d9b13:0x2ed38abe1c1b2a1a
Indira IVF Fertility Centre & Sam Hospital - Best IVF Center in Chandauli,Hospitals,"Chandauli, Uttar Pradesh",088671 81100,https://www.indiraivf.com/,5,120,"Ward No. 14, Gandhinagar, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 10 am Thu,"{'latitude': 25.2593087, 'longitude': 83.265333}",0x398e170bc3f53395:0x9f65f9662cfb6f61
Hariom Hospital and Trauma Center-Best hospital/best Gynaecologist dr in chandauli,Private Clinics,"Chandauli, Uttar Pradesh",077538 89710,,5,,"Kamla Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2587551, 'longitude': 83.27510269999999}",0x398e17a317b3161d:0x508a802d2943db37
Anamika Child Care & Hospital®,Private Clinics,"Chandauli, Uttar Pradesh",091181 80180,https://www.facebook.com/share/1PNKqX5V8K/,4.9,,"Futiya, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.258298999999997, 'longitude': 83.278038}",0x398e16442d55737d:0xf7c2f1cf5876c1b2
"Shivoy Hospital, Chandauli",Private Clinics,"Chandauli, Uttar Pradesh",,https://www.facebook.com/drsanjayortho/,5,,"near Kamlapati Tripathi District Hospital, Kamla Nager, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2590719, 'longitude': 83.2748842}",0x398e170157bd6395:0x4264ab3d09aa181
SHARDA HOSPITAL,Private Clinics,"Chandauli, Uttar Pradesh",,http://shardahospital.in/,4.9,,"Grand Trunk Rd, opposite Pt. Kamalapati Tripathi District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2599828, 'longitude': 83.2739217}",0x398e17e8e336df01:0x29df31a9cd17b334
Shaligram Ortho & Spine Clinic,Private Clinics,"Chandauli, Uttar Pradesh",073795 52121,,5,,"Sanjay Nagar Sector 11, near Electric Power House, Bichhiya Kala, Chandauli, Uttar Pradesh 232104",Closed · Opens 9:30 am Thu,"{'latitude': 25.260206699999998, 'longitude': 83.25711629999999}",0x398e172729d89dcf:0xe71d6904873659a9
Satkriti Hospital - Chandauli,Private Clinics,"Chandauli, Uttar Pradesh",081880 88574,https://satkritihospital.com/best-ent-specialist-in-chandauli.php,4.9,,"Grand Trunk Rd, near District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 10 am Thu,"{'latitude': 25.260071, 'longitude': 83.26851979999999}",0x398e17c3a80ce9e1:0x7658ac70de4115dc
SAM Hospital,Private Clinics,"Chandauli, Uttar Pradesh",063924 10456,https://samhospital.co.in/,4.7,,"Ward no 15, Gandhi Nagar, near Math Mandir, Ward Number 11, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open · Closes 11 pm,"{'latitude': 25.2579226, 'longitude': 83.26260669999999}",0x398e163ae0aa10b9:0x118261ef827a6468
Abhishek Hospital®,Private Clinics,"Chandauli, Uttar Pradesh",094152 24892,http://abhishekhospital.org/,4.4,,"State Highway 69, Danpur, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.267949599999998, 'longitude': 83.2666548}",0x398e1633f524211d:0xe2f2b9bfa0946b3f
Surya hospital,Private Clinics,"Chandauli, Uttar Pradesh",079921 31267,https://suryahospitalchandauli.in/,4.7,,"G. T. Road, near punjab National Bank, Sanjay Nagar, FCI Colony, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2600031, 'longitude': 83.2493696}",0x39a007c776d48719:0x14eeaf3461c72a34
Dr R D Memorial Hospital,Private Clinics,"Chandauli, Uttar Pradesh",077538 89705,,4.7,,"ward no 3, Nehru Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2607397, 'longitude': 83.2576114}",0x398e17bbd9e6a29d:0x2721771273307431
Vedanta - Superspeciality Hospital & Trauma Center,Private Clinics,"Chandauli, Uttar Pradesh",094528 08837,http://vedantahospital.co.in/,4.5,,"Grand Trunk Rd, near Pt Kamalapati Tripathi Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.259044199999998, 'longitude': 83.2752549}",0x398e1727231c7da5:0x5b5ed1fee1ea9a2b
Baba Clinic And Nursing Home,Private Clinics,"Chandauli, Uttar Pradesh",,,4.3,,"Danpur, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2620458, 'longitude': 83.2630856}",0x398e16304262a559:0x5e657aacd7fda091
Indrajeet Singh Memorial hospital,Private Clinics,"Chandauli, Uttar Pradesh",098391 43999,,4.7,,"7767+C68, Near Tehsil chandauli ,Ward no.-11, Bichhiya Kala, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.259251, 'longitude': 83.262462}",0x398e163abf01c6bd:0x6a6cee59c880a2ee
Ditya hospital,Private Clinics,"Chandauli, Uttar Pradesh",084001 94461,,5,,"Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2597407, 'longitude': 83.2752879}",0x398e164637dcc05f:0x40cd704fd8c586ad
Yatharth Homoeo Clinic(Dr.R.K.Maurya),Private Clinics,"Chandauli, Uttar Pradesh",084097 43947,,4.9,,"ilia mode, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Closed · Opens 10 am Thu,"{'latitude': 25.2581861, 'longitude': 83.2707734}",0x398e163860c28a61:0x29a5776d7cd745e4
Jalaluddin Clinic Nai Bazar Chandauli,Private Clinics,"Chandauli, Uttar Pradesh",,,4.2,,"889R+WC5, Nai Bazar, Uttar Pradesh 232108",Open 24 hours,"{'latitude': 25.319763299999998, 'longitude': 83.3411241}",0x398e11a290d06213:0x6f3431302eb97a11
राजन स्पेशिलिटी क्लीनिक,Private Clinics,"Chandauli, Uttar Pradesh",095062 62450,,4.8,,"7754+RXM, Ward Number 11, Bichhiya Kala, Chandauli, Uttar Pradesh 232104",Closed · Opens 2 pm Thu,"{'latitude': 25.259641799999997, 'longitude': 83.2574523}",0x398e17003ed983a1:0xcf2977465a3149b8
Pandit Kamla Pati District Hospital Chandauli,Private Clinics,"Chandauli, Uttar Pradesh",,,4,,"775F+F3V, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.258688, 'longitude': 83.2737859}",0x398e1647a4f6ab73:0x1543727a22d55f6
Suvidha Diagnostic Center,Private Clinics,"Chandauli, Uttar Pradesh",098388 80101,https://sites.google.com/view/suvidha-diagnostic-chandauli/get-in-touch,3.8,,"Pandit Kamlapati Tripathi, Grand Trunk Rd, near District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2589223, 'longitude': 83.2758467}",0x398e17969f5f5337:0x70c0324151799464
KG Nanda Hospital Chandauli,Private Clinics,"Chandauli, Uttar Pradesh",096283 00438,,3.8,,"Word No.11, 7763+3PP, Sanjay Nagar, Infront of Chaurashia Petrol Pump, near CHAURASIYA PETROL PUMP, Bichhiya Kala, Chandauli, Jasori, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2603781, 'longitude': 83.2551563}",0x398e1628a794315b:0x180372a0f2950ada
Suvidha Diagnostic Center,Diagnostic Centers,"Chandauli, Uttar Pradesh",098388 80101,https://sites.google.com/view/suvidha-diagnostic-chandauli/get-in-touch,3.8,,"Pandit Kamlapati Tripathi, Grand Trunk Rd, near District Hospital, Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2589223, 'longitude': 83.2758467}",0x398e17969f5f5337:0x70c0324151799464
Maa Vindhyavasini Diagnostic Centre,Diagnostic Centers,"Chandauli, Uttar Pradesh",095665 26052,,4.9,,"bus station, Near Dharauli, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2598445, 'longitude': 83.26704509999999}",0x398e17579f92c0d5:0x17db6171963aa1d9
Baharat Diagnostic Center,Diagnostic Centers,"Chandauli, Uttar Pradesh",097935 06777,,5,,"Gautam Nagar, Chandauli, Uttar Pradesh 232104",Open 24 hours,"{'latitude': 25.2577932, 'longitude': 83.2715975}",0x398e1719cdb71557:0xea2e1be1545b5e24
